experiment_id,timestamp,tag,model_type,mae,rmse,r2,best
20260426_135849__rf_final,2026-04-26T06:58:50.651470+00:00,rf_final,RandomForestRegressor,2705.3473063829792,3340.064426093781,0.202908338096221,false
20260510_005036__rf_test,2026-05-09T17:50:36.937820+00:00,rf_test,RandomForestRegressor,2365.902444444442,2716.822303207864,0.0605645334335135,false
20260513_155759__rf_real_monthly,2026-05-13T08:57:59.833520+00:00,rf_real_monthly,RandomForestRegressor,13551.709861111112,16754.404037928565,-0.9043679595401292,false
20260513_155830__rf_real_monthly,2026-05-13T08:58:31.081205+00:00,rf_real_monthly,RandomForestRegressor,13551.709861111112,16754.404037928565,-0.9043679595401292,false
20260513_161417__rf_real_monthly,2026-05-13T09:14:18.092229+00:00,rf_real_monthly,RandomForestRegressor,13874.316805555554,17260.98140470296,-1.0212678423730517,false
20260607_235428__rf_independent_monthly,2026-06-07T16:54:29.498679+00:00,rf_independent_monthly,RandomForestRegressor,10906.886111111111,13963.236632302667,-0.3574487927096348,true
20260608_000729__rf_independent_monthly_validation,2026-06-07T17:07:30.177373+00:00,rf_independent_monthly_validation,RandomForestRegressor,10906.886111111111,13963.236632302667,-0.3574487927096348,false
