period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2024-11-04,2024-11-10,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,106000,106000.0,3,observed,21.271,86.714,22.6,0.475,Dat do vang tren bazan,4,low
2024-11-11,2024-11-17,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,111071,111071.42857142857,7,observed,21.557,83.0,2.9,0.448,Dat do vang tren bazan,4,low
2024-11-18,2024-11-24,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,114867,114866.66666666667,3,observed,21.557,80.714,3.3,0.413,Dat do vang tren bazan,4,low
2024-11-25,2024-12-01,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,123325,123325.0,4,observed,21.414,77.0,16.9,0.377,Dat do vang tren bazan,4,low
2024-12-02,2024-12-08,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115750,115750.0,4,observed,21.686,84.143,24.1,0.467,Dat do vang tren bazan,4,low
2024-12-09,2024-12-15,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,123675,123675.0,4,observed,21.643,85.714,57.4,0.485,Dat do vang tren bazan,4,low
2024-12-16,2024-12-22,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,123500,123500.0,1,observed,19.557,79.857,2.5,0.46,Dat do vang tren bazan,4,low
2024-12-23,2024-12-29,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,121000,121000.0,1,observed,20.929,83.143,11.3,0.439,Dat do vang tren bazan,4,low
2024-12-30,2025-01-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,119667,119666.66666666667,3,observed,19.943,82.0,16.6,0.428,Dat do vang tren bazan,4,low
2025-01-06,2025-01-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,119600,119600.0,3,observed,19.243,74.143,0.0,0.367,Dat do vang tren bazan,4,low
