period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2025-01-13,2025-01-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,116320,116320.0,5,observed,19.271,83.857,3.5,0.371,Dat do vang tren bazan,4,low
2025-01-20,2025-01-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,121900,121900.0,2,observed,20.671,79.143,1.0,0.309,Dat do vang tren bazan,4,low
2025-01-27,2025-02-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,125300,,0,interpolated_area,19.214,74.714,0.0,0.272,Dat do vang tren bazan,4,low
2025-02-03,2025-02-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,128700,128700.0,2,observed,19.914,70.571,0.0,0.248,Dat do vang tren bazan,4,low
2025-02-10,2025-02-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,129920,129920.0,5,observed,21.671,80.714,12.5,0.274,Dat do vang tren bazan,4,low
2025-02-17,2025-02-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,130500,130500.0,2,observed,21.086,85.0,47.1,0.397,Dat do vang tren bazan,4,low
2025-02-24,2025-03-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,127000,127000.0,1,observed,22.0,79.143,6.3,0.414,Dat do vang tren bazan,4,low
2025-03-03,2025-03-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,130500,130500.0,3,observed,22.214,82.0,8.7,0.353,Dat do vang tren bazan,4,low
2025-03-10,2025-03-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,130767,130766.66666666667,6,observed,22.986,77.286,13.5,0.381,Dat do vang tren bazan,4,low
2025-03-17,2025-03-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,133900,133900.0,1,observed,21.643,76.0,5.8,0.302,Dat do vang tren bazan,4,low
2025-03-24,2025-03-30,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,132150,132150.0,2,observed,22.557,75.0,26.7,0.282,Dat do vang tren bazan,4,low
2025-03-31,2025-04-06,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,131200,131200.0,1,observed,22.571,79.714,26.7,0.379,Dat do vang tren bazan,4,low
2025-04-07,2025-04-13,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,123700,123700.0,1,observed,23.286,78.571,16.2,0.314,Dat do vang tren bazan,4,low
2025-04-14,2025-04-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,127533,127533.33333333333,3,observed,23.443,82.143,27.5,0.401,Dat do vang tren bazan,4,low
2025-04-21,2025-04-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,128700,128700.0,2,observed,22.786,82.571,27.2,0.353,Dat do vang tren bazan,4,low
2025-04-28,2025-05-04,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,130000,130000.0,1,observed,23.043,79.714,34.5,0.348,Dat do vang tren bazan,4,low
2025-05-05,2025-05-11,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,128500,128500.0,2,observed,23.5,85.571,21.9,0.377,Dat do vang tren bazan,4,low
2025-05-12,2025-05-18,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,126750,126750.0,2,observed,23.257,85.714,20.6,0.4,Dat do vang tren bazan,4,low
2025-05-19,2025-05-25,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,124500,124500.0,1,observed,22.643,89.286,107.8,0.455,Dat do vang tren bazan,4,low
2025-05-26,2025-06-01,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,119200,119200.0,1,observed,22.786,89.0,65.3,0.483,Dat do vang tren bazan,4,low
2025-06-02,2025-06-08,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,116250,116250.0,2,observed,22.586,90.571,39.7,0.461,Dat do vang tren bazan,4,low
2025-06-09,2025-06-15,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,112500,112500.0,2,observed,22.086,92.429,57.5,0.489,Dat do vang tren bazan,4,low
2025-06-16,2025-06-22,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,104000,,0,interpolated_area,22.557,89.857,52.2,0.48,Dat do vang tren bazan,4,low
2025-06-23,2025-06-29,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,95500,95500.0,1,observed,22.057,90.286,33.3,0.48,Dat do vang tren bazan,4,low
2025-06-30,2025-07-06,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,94600,94600.0,2,observed,22.329,89.143,35.4,0.476,Dat do vang tren bazan,4,low
2025-07-07,2025-07-13,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,90680,90680.0,5,observed,22.4,91.429,40.1,0.472,Dat do vang tren bazan,4,low
2025-07-14,2025-07-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,91900,91900.0,3,observed,22.029,92.714,41.2,0.486,Dat do vang tren bazan,4,low
2025-07-21,2025-07-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,92600,92600.0,1,observed,22.029,92.714,75.3,0.498,Dat do vang tren bazan,4,low
2025-07-28,2025-08-03,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,98800,98800.0,1,observed,22.957,90.571,38.5,0.485,Dat do vang tren bazan,4,low
2025-08-04,2025-08-10,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,105400,,0,interpolated_area,22.857,88.286,39.6,0.428,Dat do vang tren bazan,4,low
2025-08-11,2025-08-17,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,112000,112000.0,2,observed,21.8,91.143,86.9,0.478,Dat do vang tren bazan,4,low
2025-08-18,2025-08-24,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,118250,118250.0,2,observed,21.729,89.714,34.6,0.481,Dat do vang tren bazan,4,low
2025-08-25,2025-08-31,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,123133,123133.33333333333,3,observed,21.571,91.857,59.0,0.498,Dat do vang tren bazan,4,low
2025-09-01,2025-09-07,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,119117,,0,interpolated_area,22.229,92.143,82.5,0.498,Dat do vang tren bazan,4,low
2025-09-08,2025-09-14,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,115100,115100.0,3,observed,21.686,91.0,72.7,0.491,Dat do vang tren bazan,4,low
